UV1,UV2,VIS,NIR
619.5,1351.175,8589.05,5461.6
667.5,1379.175,8393.05,5518.6
641.5,1379.175,8335.05,5480.6
644.5,1348.175,8102.05,5516.6
652.5,1312.175,8080.05,5531.6
668.5,1314.175,7943.05,5594.6
664.5,1380.175,7891.05,5442.6
609.5,1330.175,7772.05,5583.6
681.5,1328.175,7744.05,5427.6
647.5,1322.175,7613.05,5433.6
619.5,1317.175,7568.05,5332.6
641.5,1302.175,7422.05,5488.6
657.5,1275.175,7443.05,5375.6
705.5,1264.175,7291.05,5567.6
652.5,1295.175,7245.05,5452.6
642.5,1291.175,7285.05,5473.6
729.5,1303.175,7288.05,5519.6
693.5,1298.175,7070.05,5427.6
725.5,1276.175,7010.05,5599.6
665.5,1266.175,6997.05,5769.6
646.5,1390.175,7131.05,5824.6
727.5,1230.175,7007.05,6039.6
699.5,1237.175,6840.05,6261.6
713.5,1272.175,6822.05,6753.6
679.5,1339.175,7005.05,7074.6
678.5,1275.175,6890.05,7623.6
654.5,1227.175,6716.05,7475.6
696.5,1317.175,6649.05,7124.6
697.5,1324.175,6756.05,6912.6
660.5,1262.175,6533.05,6442.6
660.5,1362.175,6582.05,6231.6
646.5,1246.175,6583.05,5965.6
671.5,1335.175,6617.05,5997.6
681.5,1270.175,6415.05,5725.6
659.5,1337.175,6571.05,5624.6
687.5,1261.175,6434.05,5673.6
700.5,1265.175,6494.05,5710.6
674.5,1284.175,6611.05,5688.6
713.5,1275.175,6342.05,5650.6
640.5,1229.175,6402.05,5453.6
690.5,1327.175,6330.05,5440.6
709.5,1253.175,6320.05,5380.6
666.5,1276.175,6268.05,5289.6
743.5,1298.175,6100.05,5226.6
711.5,1307.175,6312.05,5122.6
654.5,1318.175,6140.05,5003.6
669.5,1285.175,6195.05,4995.6
712.5,1286.175,6059.05,5064.6
718.5,1231.175,6123.05,4960.6
694.5,1298.175,6221.05,4984.6
726.5,1235.175,6127.05,4897.6
667.5,1297.175,6140.05,4883.6
729.5,1279.175,6042.05,4905.6
710.5,1246.175,6118.05,4991.6
734.5,1365.175,6269.05,4873.6
732.5,1308.175,6052.05,4848.6
744.5,1279.175,6033.05,4775.6
657.5,1242.175,5998.05,4790.6
