UV1,UV2,VIS,NIR
430.225,790.75,7163.7,4229.25
394.225,772.75,7158.7,4517.25
426.225,822.75,7020.7,6550.25
377.225,812.75,6919.7,8121.25
429.225,864.75,6891.7,6710.25
459.225,838.75,6840.7,4606.25
485.225,807.75,6803.7,4452.25
417.225,796.75,6836.7,4327.25
465.225,839.75,6756.7,4360.25
451.225,827.75,6678.7,4253.25
438.225,856.75,6576.7,4363.25
447.225,808.75,6410.7,4320.25
447.225,863.75,6528.7,4335.25
473.225,844.75,6568.7,4474.25
458.225,874.75,6353.7,4390.25
433.225,855.75,6386.7,4449.25
448.225,903.75,6253.7,4520.25
466.225,830.75,6360.7,4517.25
489.225,879.75,6206.7,4655.25
449.225,864.75,6335.7,4711.25
441.225,844.75,6275.7,4686.25
478.225,880.75,6157.7,4788.25
477.225,880.75,6152.7,4738.25
499.225,866.75,6115.7,4921.25
519.225,921.75,5982.7,5005.25
495.225,891.75,6132.7,5035.25
467.225,845.75,6057.7,5196.25
441.225,945.75,6124.7,5351.25
484.225,866.75,6024.7,5534.25
468.225,897.75,6103.7,5746.25
514.225,920.75,5968.7,5853.25
518.225,881.75,5957.7,6054.25
459.225,889.75,5924.7,6383.25
510.225,914.75,5958.7,6639.25
492.225,937.75,5850.7,7053.25
531.225,921.75,6076.7,7866.25
537.225,975.75,5939.7,8501.25
534.225,885.75,6002.7,9557.25
497.225,966.75,5833.7,10857.25
524.225,921.75,5957.7,13540.25
508.225,1017.75,5748.7,18525.25
521.225,998.75,5822.7,24504.25
503.225,995.75,5751.7,26796.25
551.225,946.75,5775.7,24548.25
524.225,929.75,5751.7,19238.25
498.225,975.75,5760.7,15280.25
505.225,972.75,5739.7,12898.25
582.225,986.75,5612.7,11130.25
584.225,950.75,5774.7,10074.25
562.225,889.75,5730.7,9085.25
495.225,928.75,5680.7,8594.25
539.225,1001.75,5726.7,8001.25
559.225,972.75,5536.7,7437.25
538.225,1030.75,5585.7,7015.25
531.225,985.75,5571.7,6730.25
528.225,1007.75,5586.7,6397.25
514.225,1001.75,5679.7,6120.25
520.225,1041.75,5616.7,6030.25
531.225,1000.75,5717.7,5689.25
566.225,1013.75,5716.7,5583.25
570.225,1038.75,5713.7,5560.25
577.225,1039.75,5690.7,5374.25
510.225,1077.75,5734.7,5323.25
592.225,1057.75,5635.7,5190.25
511.225,1115.75,5634.7,5031.25
511.225,1030.75,5611.7,4934.25
541.225,1042.75,5549.7,4825.25
521.225,1057.75,5723.7,4823.25
570.225,1095.75,5800.7,4821.25
598.225,1142.75,5855.7,4731.25
558.225,1116.75,5586.7,4705.25
547.225,1156.75,5757.7,4672.25
545.225,1143.75,5728.7,4519.25
543.225,1154.75,5704.7,4476.25
545.225,1228.75,5850.7,4487.25
569.225,1183.75,5897.7,4410.25
552.225,1233.75,5881.7,4380.25
567.225,1358.75,6058.7,4271.25
592.225,1246.75,6026.7,4284.25
571.225,1405.75,5999.7,4251.25
611.225,1398.75,5983.7,4271.25
576.225,1533.75,6075.7,4192.25
590.225,1686.75,6041.7,4189.25
546.225,1710.75,6139.7,4100.25
540.225,1701.75,6182.7,4079.25
586.225,1726.75,6210.7,4081.25
594.225,1809.75,6760.7,4182.25
549.225,2030.75,7777.7,4110.25
549.225,2022.75,9422.7,4200.25
606.225,1947.75,9705.7,4039.25
569.225,1704.75,9011.7,4164.25
539.225,1637.75,10846.7,4121.25
543.225,1608.75,14841.7,4093.25
553.225,1642.75,14573.7,4090.25
523.225,1724.75,11339.7,4103.25
609.225,1803.75,9618.7,4038.25
554.225,1937.75,8959.7,4084.25
556.225,2129.75,8405.7,4070.25
539.225,2222.75,8785.7,4163.25
574.225,2035.75,10972.7,4127.25
561.225,1776.75,17315.699,4209.25
567.225,1577.75,18774.699,4112.25
516.225,1549.75,14389.7,4051.25
536.225,1394.75,11121.7,4079.25
557.225,1262.75,9558.7,4153.25
509.225,1297.75,8768.7,4124.25
572.225,1245.75,8269.7,4048.25
556.225,1221.75,7859.7,4207.25
548.225,1166.75,7287.7,4093.25
589.225,1178.75,7051.7,4126.25
519.225,1201.75,6796.7,4086.25
540.225,1283.75,6617.7,4138.25
556.225,1155.75,6462.7,4069.25
570.225,1174.75,6360.7,4110.25
573.225,1194.75,6260.7,4197.25
520.225,1143.75,6134.7,4109.25
524.225,1172.75,6081.7,4073.25
550.225,1130.75,6031.7,4112.25
539.225,1114.75,5806.7,4129.25
619.225,1116.75,5990.7,4138.25
562.225,1112.75,5735.7,4014.25
588.225,1123.75,5823.7,4160.25
525.225,1168.75,5726.7,4184.25
600.225,1090.75,5615.7,4296.25
526.225,1111.75,5477.7,4291.25
573.225,1111.75,5678.7,4229.25
594.225,1062.75,5528.7,4294.25
589.225,1109.75,5509.7,4380.25
512.225,1070.75,5304.7,4484.25
553.225,1118.75,5361.7,4581.25
537.225,1114.75,5403.7,4682.25
629.225,1102.75,5314.7,5125.25
587.225,1089.75,5215.7,5470.25
540.225,1080.75,5326.7,5932.25
565.225,1120.75,5229.7,6272.25
561.225,1098.75,5204.7,6399.25
557.225,1100.75,5237.7,6056.25
576.225,1057.75,5268.7,5711.25
578.225,1055.75,5137.7,5264.25
623.225,1049.75,5147.7,5046.25
567.225,1076.75,5204.7,4891.25
527.225,1101.75,5059.7,4656.25
520.225,1071.75,5136.7,4721.25
551.225,1136.75,5093.7,4414.25
562.225,1053.75,5044.7,4485.25
586.225,1055.75,5024.7,4273.25
530.225,1117.75,5074.7,4300.25
592.225,1138.75,4984.7,4294.25
538.225,1009.75,4871.7,4209.25
555.225,1067.75,4924.7,4168.25
561.225,1024.75,4914.7,4146.25
603.225,1053.75,4861.7,4064.25
648.225,1118.75,4770.7,3989.25
569.225,1077.75,4926.7,3906.25
582.225,1102.75,4946.7,3812.25
621.225,1031.75,4869.7,3769.25
608.225,1055.75,4803.7,3866.25
662.225,1102.75,4795.7,3870.25
605.225,1081.75,4831.7,3763.25
577.225,1076.75,4725.7,3768.25
587.225,1048.75,4817.7,3732.25
598.225,1080.75,4854.7,3733.25
619.225,1032.75,4808.7,3751.25
617.225,1019.75,4866.7,3795.25
551.225,1095.75,4839.7,3668.25
628.225,1065.75,4701.7,3686.25
585.225,1033.75,4611.7,3622.25
594.225,1005.75,4732.7,3691.25
597.225,1000.75,4659.7,3689.25
642.225,1010.75,4748.7,3736.25
620.225,1023.75,4715.7,3575.25
589.225,1059.75,4690.7,3475.25
661.225,1043.75,4678.7,3599.25
609.225,1057.75,4738.7,3522.25
615.225,1028.75,4690.7,3550.25
676.225,1036.75,4744.7,3623.25
665.225,1018.75,4651.7,3567.25
677.225,1068.75,4683.7,3519.25
613.225,959.75,4649.7,3523.25
632.225,1057.75,4597.7,3545.25
636.225,1047.75,4518.7,3505.25
669.225,1014.75,4558.7,3493.25
645.225,1031.75,4614.7,3489.25
663.225,968.75,4653.7,3509.25
622.225,1013.75,4621.7,3420.25
666.225,1038.75,4599.7,3500.25
673.225,1006.75,4549.7,3450.25
727.225,976.75,4701.7,3558.25
688.225,1055.75,4625.7,3506.25
741.225,1019.75,4663.7,3516.25
741.225,1040.75,4602.7,3516.25
707.225,1062.75,4591.7,3533.25
714.225,963.75,4527.7,3507.25
728.225,962.75,4661.7,3453.25
739.225,1044.75,4658.7,3408.25
693.225,1087.75,4625.7,3450.25
810.225,1050.75,4664.7,3478.25
717.225,994.75,4666.7,3447.25
780.225,1050.75,4657.7,3422.25
794.225,1093.75,4617.7,3550.25
777.225,1046.75,4729.7,3395.25
801.225,1042.75,4786.7,3441.25
837.225,1006.75,4773.7,3501.25
908.225,1048.75,4779.7,3553.25
821.225,1007.75,4683.7,3455.25
891.225,1066.75,4635.7,3459.25
907.225,1030.75,4711.7,3558.25
899.225,1064.75,4765.7,3502.25
978.225,1035.75,4672.7,3508.25
1025.225,1040.75,4696.7,3609.25
1058.225,1020.75,4682.7,3561.25
